Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
LogisticRegression,0.7984386089425124,0.7185086155674391,0.8403833733757008,0.7931591044265852,0.790613140730487,0.7984386089425124,0.028685808181762695
AdaBoostClassifier,0.7984386089425124,0.7116781627011806,0.8392634787775453,0.7913300871905126,0.7889102283807814,0.7984386089425124,0.27298951148986816
LinearSVC,0.794180269694819,0.7079258053682607,0.8356997080782248,0.7874010496906569,0.7847198720564377,0.794180269694819,0.02773261070251465
CalibratedClassifierCV,0.7934705464868701,0.7057351003642564,0.8356867911855124,0.7863079021301508,0.7836327356920963,0.7934705464868701,0.09024310111999512
LGBMClassifier,0.7892122072391767,0.7019827430313363,0.8293148880105402,0.7823907548779633,0.7794848545401509,0.7892122072391767,0.12726092338562012
QuadraticDiscriminantAnalysis,0.7558552164655784,0.7527047973339533,0.8292257614508254,0.766885180271827,0.7956131090146127,0.7558552164655784,0.029900074005126953
RidgeClassifierCV,0.7920511000709723,0.6970846573148364,0.828817587641117,0.782822122776246,0.7805220118565525,0.7920511000709723,0.022759437561035156
RidgeClassifier,0.7920511000709723,0.6970846573148364,0.8285825001937533,0.782822122776246,0.7805220118565525,0.7920511000709723,0.026586055755615234
LinearDiscriminantAnalysis,0.7863733144073811,0.7051732155312718,0.8285437495156165,0.7813556478347158,0.7785050344416202,0.7863733144073811,0.038895368576049805
RandomForestClassifier,0.794180269694819,0.7036567723268491,0.8241390891007259,0.7861861785743973,0.783697559433043,0.794180269694819,0.60780930519104
NuSVC,0.7899219304471257,0.6657521506626366,0.8201477692526287,0.7703188402968694,0.7752922499709164,0.7899219304471257,1.478658676147461
GaussianNB,0.7466288147622427,0.7421555710558269,0.8201038518174067,0.7582092228138658,0.7878674722149449,0.7466288147622427,0.018510103225708008
XGBClassifier,0.7814052519517388,0.7009377664109122,0.818468573200031,0.7768490404636231,0.7740078181372101,0.7814052519517388,0.23804664611816406
SGDClassifier,0.7877927608232789,0.6882094603322224,0.8165155390219329,0.7772896809013793,0.7750678541494356,0.7877927608232789,0.0496983528137207
BernoulliNB,0.7395315826827538,0.7304942003151722,0.8123769665969154,0.7511585788168412,0.7793082821379903,0.7395315826827538,0.02203226089477539
ExtraTreesClassifier,0.7735982966643009,0.6794014311917125,0.8026079206386112,0.7654803950461343,0.761860878333626,0.7735982966643009,0.5554108619689941
SVC,0.7934705464868701,0.6929280012400217,0.7906688367046424,0.7824316278097495,0.7810247051269052,0.7934705464868701,1.4555139541625977
BaggingClassifier,0.7721788502484032,0.6656281484925985,0.7863830117027049,0.760001898717971,0.7568299030044948,0.7721788502484032,0.19154715538024902
KNeighborsClassifier,0.7423704755145494,0.6658296520189103,0.7605130589785322,0.7413593291695689,0.7404109756665851,0.7423704755145494,3.932504177093506
Perceptron,0.7473385379701917,0.6342052235914128,0.7604820584360227,0.7340022728064809,0.7287652594643084,0.7473385379701917,0.021406173706054688
NearestCentroid,0.7132718239886444,0.744210648686352,0.744210648686352,0.7296862144117776,0.7935518539602404,0.7132718239886444,0.01729583740234375
LabelPropagation,0.7260468417317246,0.6606951871657754,0.7271280580743497,0.7291110663252774,0.7327471615095293,0.7260468417317246,1.6440553665161133
LabelSpreading,0.7267565649396736,0.6620320855614974,0.7260146219225503,0.7299144825058764,0.7336867061135977,0.7267565649396736,2.080595016479492
PassiveAggressiveClassifier,0.6933995741660752,0.6196892195613424,0.6926192875041979,0.6970564785343878,0.7013154473715647,0.6933995741660752,0.024555444717407227
DecisionTreeClassifier,0.7281760113555713,0.6595830427032474,0.659360872148596,0.7302837433383068,0.7326572135875244,0.7281760113555713,0.04294586181640625
ExtraTreeClassifier,0.730305180979418,0.65505567180759,0.6545674132630654,0.7305343607160196,0.7307665244535394,0.730305180979418,0.02152562141418457
DummyClassifier,0.7345635202271115,0.5,0.5,0.6221548636948121,0.539583565248446,0.7345635202271115,0.017284631729125977
